Albania,Grasshopper Club Zürich
Albania,Leyton Orient
Albania,Vejle Boldklub
Algeria,Antalyaspor
Algeria,Sagan Tosu
Argentina,12 de Octubre FC
Argentina,APOEL Nicosia FC
Argentina,Arsenal de Sarandí
Argentina,Atlético de Rafaela
Argentina,Belgrano de Córdoba
Argentina,Boca Juniors
Argentina,Club Atlético Banfield
Argentina,Club Atlético Central Córdoba
Argentina,Club Atlético Colón
Argentina,Club Atlético Huracán
Argentina,Club Atlético Sarmiento
Argentina,Club Atlético Talleres
Argentina,Club Atlético Temperley
Argentina,Club Olimpo
Argentina,Estudiantes de La Plata
Argentina,FC Cartagena
Argentina,Getafe CF
Argentina,Gimnasia y Esgrima La Plata
Argentina,Godoy Cruz
Argentina,Internacional
Argentina,Newell's Old Boys
Argentina,Nueva Chicago
Argentina,Palermo
Argentina,Patronato
Argentina,Racing Club
Argentina,River Plate
Argentina,San Martin de Tucumán
Argentina,Unión de Santa Fe
Argentina,Villarreal CF
Argentina,Vélez Sarsfield
Australia,Adelaide United
Australia,Bayer 04 Leverkusen
Australia,Brisbane Roar
Australia,Central Coast Mariners
Australia,Chaves
Australia,Manchester City W
Australia,Melbourne City FC
Australia,Newcastle Jets
Australia,Sydney FC
Australia,Wellington Phoenix
Australia,Western Sydney Wanderers
Austria,FC Flyeralarm Admira
Austria,FK Austria Wien
Austria,SC Magna Wiener Neustadt
Austria,SC Rheindorf Altach
Austria,SK Austria Klagenfurt
Austria,SK Rapid Wien
Austria,SV Grödig
Austria,SV Mattersburg
Austria,VfB Stuttgart
Austria,WSG Tirol
Belgium,AS Eupen
Belgium,Club Brugge KV
Belgium,Gent
Belgium,KRC Genk
Belgium,KSV Cercle Brugge
Belgium,KV Mechelen
Belgium,Olympique de Marseille
Belgium,Oud-Heverlee Leuven
Belgium,SV Zulte Waregem
Belgium,Sint-Truidense VV
Belgium,Standard de Liège
Benin,FC Red Bull Salzburg
Bolivia,Always Ready
Bolivia,Club Atlético Nacional Potosí
Bolivia,Club Deportivo Oriente Petrolero
Bolivia,Royal Pari
Bosnia and Herzegovina,Manchester City
Brazil,Adanaspor
Brazil,Al Faisaly
Brazil,Al Khaleej
Brazil,Al Nassr
Brazil,América Futebol Clube
Brazil,Associação Chapecoense de Futebol
Brazil,Boavista
Brazil,Boavista FC
Brazil,Bordeaux W
Brazil,Bursaspor
Brazil,Casa Pia
Brazil,Club Athletico Paranaense
Brazil,Club de Regatas Vasco da Gama
Brazil,Clube Atlético Mineiro
Brazil,Clube Sport Marítimo
Brazil,Coritiba
Brazil,Cracovia
Brazil,Criciúma
Brazil,ESTAC Troyes
Brazil,Estoril
Brazil,FC Arouca
Brazil,FC Groningen
Brazil,FC Midtjylland
Brazil,Figueirense
Brazil,Fluminense
Brazil,Gil Vicente FC
Brazil,Grêmio
Brazil,Göztepe SK
Brazil,Hamburger SV
Brazil,Jeonbuk Hyundai Motors
Brazil,Lechia Gdańsk
Brazil,Lierse SK
Brazil,Livorno
Brazil,Moreirense FC
Brazil,PFC CSKA Moscow
Brazil,Ponte Preta
Brazil,Rayo Vallecano
Brazil,Santa Clara
Brazil,Sporting CP
Brazil,São Paulo
Brazil,Terek Grozny
Brazil,Ulsan Hyundai FC
Brazil,Vitória de Setúbal
Brazil,Yokohama F. Marinos
Brazil,Åtvidabergs FF
Bulgaria,AS Monaco
Cameroon,FC Schalke 04
Cameroon,Perugia
Cameroon,Stade de Reims W
Canada,Canada W
Canada,Manchester United W
Canada,Rodez W
Canada,Toronto
Canada,Toronto FC
Cape Verde Islands,CD Nacional
Central African Republic,Stade Rennais FC
Chile,Audax Italiano
Chile,CD Antofagasta
Chile,CD Cobreloa
Chile,CD Everton de Viña del Mar
Chile,CD Huachipato
Chile,CD O'Higgins
